first_name,last_name,team
Broc,Feeney,Triple Eight Race Engineering
Brad,Schumacher,Triple Eight Race Engineering
Jaxon,Evans,Arise Racing GT
Elliott,Schutte,Arise Racing GT
Liam,Talbot,Arise Racing GT
Jayden,Ojeda,Tigani Motorsport
Paul,Lucchitti,Tigani Motorsport
Sergio,Pires,Tigani Motorsport
Alex,Peroni,Melbourne Performance Centre
Mark,Rosser,Melbourne Performance Centre
Brendon,Leitch,Melbourne Performance Centre
Tim,Miles,Melbourne Performance Centre
Gary,Higgon,Melbourne Performance Centre
Antonio,D'Alberto,Wall Racing
Adrian,Deitz,
Will,Brown,
Declan,Fraser,
Ryan,Wood,
Steve,Brooks,
George,King,
Stephen,Wyatt,
Marcel,Zalloua,
Thomas,Randle,
Renee,Gracie,Melbourne Performance Centre
Luke,Youlden,Valmont Racing
Gaspard,Simon,Walkenhorst Motorsport
